bug_report_url,bug_report_url_redirected,bug_report_title,created_at,status,closure_reason,n_bugs_covered,programming_language,is_anonymously_reported,has_repro_steps,test_present,fix_entity_type,fix_commit_pr_sha,n_files_changed_in_fix,fix_component,is_fail_stop,comment_count,issue_participants_count,closed_at,issue_description_length_chars,issue_first_comment_at,pr_head_commit_sha,pr_commit_count,pr_has_commit_id,pr_review_submission_count,pr_review_rounds_estimate
https://github.com/ethereum/go-ethereum/issues/29782,https://github.com/ethereum/go-ethereum/issues/29782,`cmd/evm` can't invoke post-merge opcodes correctly,2024-05-15T09:56:31Z,closed,Fixed,1,Go,False,True,True,pr,5ad0803a77e77dc98de8f587aa54111cb84cdd8f,2,core/production code; test code,False,3,2,2024-05-28T11:45:17Z,62206,2024-05-15T13:25:20Z,,,,,
https://github.com/LibRaw/LibRaw/issues/322,https://github.com/LibRaw/LibRaw/issues/322,negative-size-param in raw2image.cpp:496:11,2020-08-16T07:45:11Z,closed,Fixed,2,C++,False,True,False,commit,d78c328be4d0113a7810a0bf976de00df2c8f927,2,core/production code,True,1,2,2020-08-20T07:13:42Z,1744,2020-08-20T07:13:42Z,,,,,
https://github.com/sahaRatul/sela/issues/28,https://github.com/sahaRatul/sela/issues/28,Segmentation fault in frame_decoder.cpp:65:35,2020-08-14T04:58:45Z,open,Still Open,1,C++,False,True,,,,,core/production code,True,0,1,,2360,,,,,,
https://github.com/ethereum/py-evm/issues/2176,https://github.com/ethereum/py-evm/issues/2176,AttributeError when calling opcode `SELFDESTRUCT` in py-evm,2024-04-24T12:32:26Z,closed,Duplicate,1,Python,False,True,False,,,0,core/production code,False,1,2,2024-04-24T17:29:43Z,8464,2024-04-24T17:29:43Z,,,,,
https://github.com/wechatpy/wechatpy/issues/775,https://github.com/wechatpy/wechatpy/issues/775,AES ECB模式的使用，以及IV的设定问题,2024-04-04T12:26:09Z,closed,Won't Fix,2,Python,False,False,False,discussion,,0,core/production code,False,2,3,2025-01-11T03:25:06Z,111,2024-04-04T12:26:54Z,,,,,
https://github.com/gpac/gpac/issues/1586,https://github.com/gpac/gpac/issues/1586,A Segmentation fault in box_code_base.c:11579,2020-09-04T14:58:11Z,closed,Fixed,1,C,False,True,False,commit,362fc486b5c0eea04f26793d5623f6a9272bd85a,1,core/production code,True,0,1,2020-09-07T07:20:45Z,1423,,,,,,
https://github.com/lbryio/lbry-sdk/issues/3737,https://github.com/lbryio/lbry-sdk/issues/3737,Questions about sha256 and salt used,2024-04-04T11:00:23Z,open,Still Open,2,Python,False,False,,,,,core/production code,False,0,1,,382,,,,,,
https://github.com/libsdl-org/SDL/pull/9228,https://github.com/libsdl-org/SDL/pull/9228,Fix TOCTOU race condition,2024-03-08T22:25:03Z,closed,Fixed,3,C,False,False,False,pr,02666f496ddfe4943b37a1403d31511fe70701d8,3,core/production code,False,4,,2024-03-08T23:52:05Z,,,02666f496ddfe4943b37a1403d31511fe70701d8,1,True,0,0
https://sourceforge.net/p/sox/bugs/334/,https://sourceforge.net/p/sox/bugs/334/,#334 Segmentation fault in rate.c:504:30,2020-08-11T00:00:00Z,closed-fixed,Fixed,1,C,False,,,,,,,,,,,,,,,,,
https://github.com/msteveb/jimtcl/pull/277,https://github.com/msteveb/jimtcl/pull/277,core: fix TOCTOU race condition,2023-08-23T21:12:31Z,open,Still Open,1,C,False,False,,,,,core/production code,False,4,,,,,e97f036af68e2b30db888bb3832ea2cff3cf9198,1,True,0,0
https://github.com/raysan5/raylib/pull/3073,https://github.com/raysan5/raylib/pull/3073,Fix integer overflow when calculating memory allocation size,2023-05-21T02:52:07Z,closed,Won't Fix,1,C,False,False,False,pr_rejected,,0,core/production code,False,1,,2023-05-21T08:11:25Z,,,7b9692529231c30f458560bd36b30a7bd30a8da9,1,True,0,0
https://github.com/scikit-learn/scikit-learn/issues/28470,https://github.com/scikit-learn/scikit-learn/issues/28470,Suggesting updates on the doc of `sklearn.cluster.SpectralClustering`,2024-02-20T05:27:50Z,closed,Fixed,1,Python,False,False,False,pr,98bbfc0784ccc479cbce044056e552e041e54ae6,1,documentation,False,5,3,2024-02-22T13:09:33Z,1686,2024-02-22T10:51:21Z,,,,,
